sending slot 15
slot 1, parent 8, max_prob 100, total 100 ==>  setting strategy, parent 8 
sent=10, activity=5.70%
sent=20, activity=1.70%
sent=30, activity=1.60%
sent=40, activity=1.60%
sent=50, activity=1.70%
sent=60, activity=1.50%
sent=70, activity=1.70%
sent=80, activity=1.60%
sent=90, activity=1.50%
sent=100, activity=1.60%
sent=110, activity=1.60%
sent=120, activity=1.70%
sent=130, activity=1.60%
sent=140, activity=1.60%
sent=150, activity=1.60%
sent=160, activity=1.50%
sent=170, activity=1.60%
sent=180, activity=1.50%
sent=190, activity=1.60%
sent=200, activity=1.70%
sent=210, activity=1.60%
sent=220, activity=1.60%
sent=230, activity=1.60%
